date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2024-01-01	10000	10000	DEPOSIT	10000						10000			Initial deposit from checking
2024-01-31	10000	10032.88	HOLD						32.88	10032.88			Interest payment
2024-02-15	10032.88	15032.88	DEPOSIT	5000						15032.88			Transfer from bank
2024-02-29	15032.88	15082.37	HOLD						49.49	15082.37			Interest payment
2024-03-15	15082.37	10082.37	WITHDRAW	5000						10082.37			Transfer to Conservative fund
2024-03-31	10082.37	10115.59	HOLD						33.22	10115.59			Interest payment
2024-04-15	10115.59	20115.59	DEPOSIT	10000						20115.59			Tax refund deposit
2024-04-30	20115.59	20181.87	HOLD						66.28	20181.87			Interest payment
2024-05-15	20181.87	15181.87	WITHDRAW	5000						15181.87			Transfer to Conservative fund
2024-05-31	15181.87	15231.87	HOLD						50.00	15231.87			Interest payment
