date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-02-14	0		BUY	200						10000			
2023-02-15	200		BUY	200						10000			
2023-02-16	390.23		BUY	200						10000			
2023-02-17	578.13		BUY	200						10000			
2023-02-21	760		BUY	300						10000			
2023-02-22	1033		BUY	300						10000			
2023-02-23	1339		BUY	200						10000			
2023-02-24	1461		BUY	300						10000			
2023-02-27	1839		BUY	200						10000			
2023-02-28	1997		BUY	200						10000			
2023-03-01	2179		BUY	200					14.64	10000			
2023-03-02	2319		BUY	200						10000			
2023-03-03	2678		BUY	200						10000			
2023-03-06	2975.67		SELL	2975.67						10000			
2023-03-07	0		BUY	300						10000			
2023-03-08	292		BUY	300						10000			
2023-03-09	600		BUY	300						10000			
2023-03-10	833		BUY	300						10000			
2023-03-13	1117		BUY	300						10000			
2023-03-14	1444		BUY	300						10000			
2023-03-15	1677		BUY	300						10000			
2023-03-16	2069		BUY	300						10000			
2023-03-17	2404		BUY	300						10000			
2023-03-20	2669		BUY	300						10000			
2023-03-21	3085		BUY	300						10000			
2023-03-22	3430		BUY	300						10000			
2023-03-23	3672		BUY	300						10000			
2023-03-24	3775		BUY	300						10000			
2023-03-27	4316		BUY	300						10000			
2023-03-28	4514		BUY	300			12.06			10000			
2023-03-29	5200		BUY	300						10000			
2023-03-30	5456.19		SELL	5456.19						10000			
2023-03-31	0		BUY	500						10000			
2023-04-03	519		BUY	500					28.49	10000			
2023-04-04	1016		BUY	500						10000			
2023-04-05	1482		BUY	500						10000			
2023-04-06	1957		BUY	500						10000			
2023-04-07	2468		BUY	500						10000			
2023-04-10	3027		BUY	500						10000			
2023-04-11	3538		BUY	500						10000			
2023-04-12	4008		BUY	500						10000			
2023-04-13	4641		BUY	500						10000			
2023-04-17	5106		BUY	500						10000			
2023-04-18	5731		BUY	500						10000			
2023-04-19	6129		BUY	500						10000			
2023-04-20	6561		BUY	500						10000			
2023-04-21	7056		BUY	500						10000			
2023-04-24	7612		BUY	500						10000			
2023-04-25	7980		BUY	500						10000			
2023-04-26	8235		BUY	500						10000			
2023-04-27	8725		BUY	500						10000			
2023-04-28	9630		BUY	500						10000			
2023-05-01	10366.85		SELL	10366.85					14.1	10000			
2023-05-02	0		BUY	500						10000			
2023-05-03	488		BUY	500						10000			
2023-05-04	953		BUY	500						10000			
2023-05-05	1478		BUY	500						10000			
2023-05-08	2030		BUY	500						10000			
2023-05-09	2498		BUY	500						10000			
2023-05-10	2999		BUY	500						10000			
2023-05-11	3512		BUY	500						10000			
2023-05-12	4034		BUY	500						10000			
2023-05-15	4452		BUY	500						10000			
2023-05-16	5002		BUY	500						10000			
2023-05-17	5522		BUY	500						10000			
2023-05-18	6151		BUY	500						10000			
2023-05-19	6893.41		SELL	6893.41						10000			
2023-05-22	0		BUY	500						10000			
2023-05-23	494		BUY	500						10000			
2023-05-24	943		BUY	500						10000			
2023-05-25	1474		BUY	500						10000			
2023-05-26	2020		BUY	500						10000			
2023-05-30	2595		BUY	500						10000			
2023-05-31	3027		BUY	500						10000			
2023-06-01	3574		BUY	500					28.46	10000			
2023-06-02	4208.2		SELL	4208.2						10000			
2023-06-05	0		BUY	500						10000			
2023-06-06	499.75		BUY	500						10000			
2023-06-07	1002.3		BUY	500						10000			
2023-06-08	1480		BUY	500						10000			
2023-06-09	2020		BUY	500						10000			
2023-06-12	2538		BUY	500						10000			
2023-06-13	3157		BUY	500						10000			
2023-06-14	3705		BUY	500						10000			
2023-06-15	4224.25		SELL	4224.25						10000			
2023-06-16	0		BUY	500						10000			
2023-06-20	480		BUY	600						10000			
2023-06-21	1073		BUY	600						10000			
2023-06-22	1657		BUY	200						10000			
2023-06-23	1841		BUY	500						10000			
2023-06-26	2354		BUY	500						10000			
2023-06-27	2830		BUY	500						10000			
2023-06-28	3408		BUY	100			3.23			10000			
2023-06-29	3504		BUY	100						10000			
2023-06-30	3769.64		SELL	3769.64						10000			
2023-07-03	0		BUY	100					33.09	10000			
2023-07-05	100.23		BUY	100						10000			
2023-07-06	192		BUY	500						10000			
2023-07-07	699		BUY	500						10000			
2023-07-10	1192		BUY	400			0.01			10000			
2023-07-11	1606		BUY	200						10000			
2023-07-12	1875		BUY	200						10000			
2023-07-13	2106		BUY	200						10000			
2023-07-14	2344.19		SELL	2344.19						10000			
2023-07-17	0		BUY	200						10000			
2023-07-18	201.99		BUY	200						10000			
2023-07-19	414		BUY	200						10000			
2023-07-20	608.89		BUY	200						10000			
2023-07-21	795		BUY	400						10000			
2023-07-24	1203		BUY	200						10000			
2023-07-25	1414		BUY	200						10000			
2023-07-26	1615		BUY	200						10000			
2023-07-27	1848		BUY	200						10000			
