date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-02-14	0		BUY	2303.7599999999998						50000			
2023-02-15	2358.51		SELL	2358.51						50000			
2023-02-16	0		BUY	200						50000			
2023-02-17	186.61		BUY	200						50000			
2023-02-21	372		BUY	300						50000			
2023-02-22	653		BUY	300						50000			
2023-02-23	977		BUY	200						50000			
2023-02-24	1095		BUY	300						50000			
2023-02-27	1460		BUY	200						50000			
2023-02-28	1636		BUY	200						50000			
2023-03-01	1829		BUY	200					87.07	50000			
2023-03-02	1930		BUY	200						50000			
2023-03-03	2325		BUY	200						50000			
2023-03-06	2631.4		SELL	2631.4						50000			
2023-03-07	0		BUY	300						50000			
2023-03-08	295		BUY	300						50000			
2023-03-09	610		BUY	300						50000			
2023-03-10	836		BUY	300						50000			
2023-03-13	1148		BUY	300						50000			
2023-03-14	1506		BUY	300						50000			
2023-03-15	1787		BUY	300						50000			
2023-03-16	2257		BUY	300						50000			
2023-03-17	2682.66		SELL	2682.66						50000			
2023-03-20	0		BUY	300						50000			
2023-03-21	313		BUY	300						50000			
2023-03-22	630		BUY	300						50000			
2023-03-23	932		BUY	300						50000			
2023-03-24	1189		BUY	300						50000			
2023-03-27	1543		BUY	300						50000			
2023-03-28	1730		BUY	300						50000			
2023-03-29	2155		BUY	300			3.64			50000			
2023-03-30	2538		BUY	300						50000			
2023-03-31	2901		BUY	300						50000			
2023-04-03	3276.27		SELL	3276.27					182.95	50000			
2023-04-04	0		BUY	500						50000			
2023-04-05	490		BUY	500						50000			
2023-04-06	946		BUY	500						50000			
2023-04-07	1474		BUY	500						50000			
2023-04-10	1994		BUY	500						50000			
2023-04-11	2469		BUY	500						50000			
2023-04-12	2929		BUY	500						50000			
2023-04-13	3525		BUY	500						50000			
2023-04-17	4040		BUY	500						50000			
2023-04-18	4670		BUY	500						50000			
2023-04-19	5006		BUY	500						50000			
2023-04-20	5489		BUY	500						50000			
2023-04-21	5910		BUY	500						50000			
2023-04-24	6458		BUY	500						50000			
2023-04-25	6801		BUY	500						50000			
2023-04-26	7183		BUY	500						50000			
2023-04-27	7850		BUY	500						50000			
2023-04-28	8692.71		SELL	8692.71						50000			
2023-05-01	0		BUY	500					152.13	50000			
2023-05-02	500		BUY	500						50000			
2023-05-03	979		BUY	500						50000			
2023-05-04	1435		BUY	500						50000			
2023-05-05	1969		BUY	500						50000			
2023-05-08	2547		BUY	500						50000			
2023-05-09	3041		BUY	500						50000			
2023-05-10	3604		BUY	500						50000			
2023-05-11	4155		BUY	500						50000			
