date	value	cash	action	amount	shares	price	dividend	expense	cash_interest	fund_size	margin_available	margin_borrowed	notes
2023-05-01	0		BUY	100						15000			
2023-05-02	99.37		BUY	100						15000			Withdrawal: $1.76
2023-05-03	198		BUY	100						15000			Withdrawal: $1.75
2023-05-04	295		BUY	100						15000			Withdrawal: $1.73
2023-05-05	397.47		BUY	100						15000			Withdrawal: $1.82
2023-05-08	501		BUY	500						15000			Withdrawal: $5.42
2023-05-09	997		BUY	100						15000			Withdrawal: $1.74
2023-05-10	1099		BUY	100						15000			Withdrawal: $1.73
2023-05-11	1197		BUY	100						15000			Withdrawal: $1.72
2023-05-12	1301		BUY	100						15000			Withdrawal: $1.71
2023-05-15	1394		BUY	100						15000			Withdrawal: $5.08
2023-05-16	1500		BUY	100						15000			Withdrawal: $1.68
2023-05-17	1600		BUY	100						15000			Withdrawal: $1.67
2023-05-19	1735		BUY	100						15000			Withdrawal: $3.31
2023-05-22	1831		BUY	100						15000			Withdrawal: $4.93
2023-05-23	1926		BUY	100						15000			Withdrawal: $1.63
2023-05-24	1988		BUY	100						15000			Withdrawal: $1.62
2023-05-25	2100		BUY	100						15000			Withdrawal: $1.61
2023-05-26	2219		BUY	100						15000			Withdrawal: $1.59
2023-05-30	2339		BUY	100						15000			Withdrawal: $6.33
2023-05-31	2425		BUY	100						15000			Withdrawal: $1.57
2023-06-01	2536		BUY	100						15000			Withdrawal: $1.56
2023-06-02	2667		BUY	100						15000			Withdrawal: $1.54
2023-06-05	2796		BUY	100						15000			Withdrawal: $4.60
2023-06-06	2897		BUY	100						15000			Withdrawal: $1.52
2023-06-07	3003.6		SELL	3003.6						15000			Withdrawal: $105.11
2023-06-08	0		BUY	100						15000			Withdrawal: $1.87
2023-06-09	100		BUY	100						15000			Withdrawal: $1.86
2023-06-12	201.09		BUY	100						15000			Withdrawal: $5.53
2023-06-13	304		BUY	100						15000			Withdrawal: $1.83
2023-06-14	406		BUY	100						15000			Withdrawal: $1.82
2023-06-15	509		BUY	500						15000			Withdrawal: $1.81
2023-06-16	1015		BUY	100						15000			Withdrawal: $1.74
2023-06-20	1100		BUY	100						15000			Withdrawal: $6.92
2023-06-21	1199		BUY	200						15000			Withdrawal: $1.72
2023-06-22	1393		BUY	200						15000			Withdrawal: $1.69
2023-06-23	1583		BUY	200						15000			Withdrawal: $1.67
2023-06-26	1787		BUY	200						15000			Withdrawal: $4.93
2023-06-27	1984		BUY	200						15000			Withdrawal: $1.62
2023-06-28	2201		BUY	100			6.09			15000			Withdrawal: $1.59
2023-06-29	2306		BUY	100						15000			Withdrawal: $1.58
2023-06-30	2438		BUY	100						15000			Withdrawal: $1.57
2023-07-03	2541		BUY	100						15000			Withdrawal: $4.67
2023-07-05	2639		BUY	100						15000			Withdrawal: $3.09
2023-07-06	2706		BUY	100						15000			Withdrawal: $1.53
2023-07-07	2820		BUY	100						15000			Withdrawal: $1.52
2023-07-10	2919		BUY	100			0.01			15000			Withdrawal: $4.52
2023-07-12	3075		BUY	100						15000			Withdrawal: $2.99
2023-07-13	3188		BUY	100						15000			Withdrawal: $1.48
2023-07-14	3304		BUY	100						15000			Withdrawal: $1.47
2023-07-17	3398		BUY	100						15000			Withdrawal: $4.37
2023-07-18	3516		BUY	100						15000			Withdrawal: $1.44
2023-07-19	3650		BUY	100						15000			Withdrawal: $1.43
2023-07-20	3738		BUY	100						15000			Withdrawal: $1.42
2023-07-21	3817		BUY	100						15000			Withdrawal: $1.41
2023-07-24	3918		BUY	100						15000			Withdrawal: $4.18
2023-07-25	4034		BUY	100						15000			Withdrawal: $1.38
2023-07-26	4136		BUY	100						15000			Withdrawal: $1.37
2023-07-27	4261		BUY	100						15000			Withdrawal: $1.36
2023-07-28	4346		BUY	100						15000			Withdrawal: $1.42
2023-07-31	4455		BUY	100						15000			Withdrawal: $4.21
2023-08-01	4554		BUY	100						15000			Withdrawal: $1.39
2023-08-02	4607		BUY	100						15000			Withdrawal: $1.38
2023-08-03	4665		BUY	100						15000			Withdrawal: $1.36
2023-08-04	4801		BUY	100						15000			Withdrawal: $1.35
2023-08-07	4870		BUY	100						15000			Withdrawal: $4.01
2023-08-08	4932		BUY	100						15000			Withdrawal: $1.32
2023-08-09	5062		BUY	100						15000			Withdrawal: $1.31
2023-08-10	5197		BUY	100						15000			Withdrawal: $1.30
2023-08-11	5217		BUY	100						15000			Withdrawal: $1.28
2023-08-14	5348		BUY	100						15000			Withdrawal: $3.81
2023-08-15	5403		BUY	100						15000			Withdrawal: $1.26
2023-08-16	5483		BUY	200						15000			Withdrawal: $1.25
2023-08-17	5655		BUY	200						15000			Withdrawal: $1.22
2023-08-18	5775		BUY	200						15000			Withdrawal: $1.19
2023-08-21	5990		BUY	200						15000			Withdrawal: $3.50
2023-08-22	6272		BUY	200						15000			Withdrawal: $1.14
2023-08-23	6454		BUY	200						15000			Withdrawal: $1.11
2023-08-24	6738		BUY	100						15000			Withdrawal: $1.09
2023-08-25	6730		BUY	200						15000			Withdrawal: $1.07
2023-08-28	6981		BUY	200						15000			Withdrawal: $3.15
2023-08-29	7224		BUY	100						15000			Withdrawal: $1.02
2023-08-30	7423		BUY	100						15000			Withdrawal: $1.01
2023-08-31	7549		BUY	100						15000			Withdrawal: $1.00
2023-09-01	7636		BUY	100						15000			Withdrawal: $0.98
2023-09-05	7731		BUY	100						15000			Withdrawal: $3.88
2023-09-06	7780		BUY	100						15000			Withdrawal: $0.96
2023-09-07	7822		BUY	100						15000			Withdrawal: $0.94
2023-09-08	7940		BUY	100						15000			Withdrawal: $0.93
2023-09-11	8071		BUY	100						15000			Withdrawal: $2.75
2023-09-12	8176		BUY	100						15000			Withdrawal: $0.90
2023-09-13	8258.36		BUY	100						15000			Withdrawal: $0.89
2023-09-14	8418		BUY	100						15000			Withdrawal: $0.88
2023-09-15	8479		BUY	100						15000			Withdrawal: $0.87
2023-09-18	8517		BUY	100						15000			Withdrawal: $2.56
2023-09-19	8591		BUY	200						15000			Withdrawal: $0.84
2023-09-20	8819		BUY	100						15000			Withdrawal: $0.81
2023-09-21	8698		BUY	200						15000			Withdrawal: $0.80
2023-09-22	8868		BUY	200						15000			Withdrawal: $0.77
2023-09-25	8994		BUY	200						15000			Withdrawal: $2.24
